epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,909.735,2.4907,4.19054,2.4905,0.06787,0.0929,0.02854,0.00778,2.87543,4.59873,2.95583,0.000463102,0.000463102,0.000463102
2,1791.1,2.32902,3.54994,2.36794,0.00505,0.18345,0.00345,0.00101,3.03916,9.35559,3.49485,0.000923935,0.000923935,0.000923935
3,2650.49,2.47294,3.6005,2.49238,0.00175,0.06862,0.00193,0.00036,4.37955,5.08092,7.39179,0.00136905,0.00136905,0.00136905
4,3513.62,2.44294,3.63981,2.52584,0.00086,0.0125,0.00044,4e-05,4.01138,2551.77,5.48205,0.00135826,0.00135826,0.00135826
5,4357.31,2.37479,3.56457,2.45878,0.67182,0.06667,0.00471,0.00121,2.98026,6.74515,3.14503,0.00133469,0.00133469,0.00133469
6,5200.84,2.38322,3.54234,2.49071,0.34202,0.02222,0.00268,0.00059,3.24955,6.1785,3.60625,0.00131111,0.00131111,0.00131111
7,6049.55,2.34321,3.56281,2.48531,0.70322,0.04444,0.02874,0.00824,2.50618,4.16259,2.80203,0.00128753,0.00128753,0.00128753
8,6883.2,2.33691,3.41275,2.4478,0.36188,0.01685,0.0097,0.00252,2.70827,4.99022,2.9449,0.00126395,0.00126395,0.00126395
9,7712.73,2.28291,3.42409,2.41821,0.03444,0.15038,0.03558,0.00861,2.70733,3.83028,2.88867,0.00124037,0.00124037,0.00124037
10,8540.96,2.31814,3.37504,2.46855,0.39802,0.16704,0.06959,0.01856,2.3781,3.31109,2.61323,0.00121679,0.00121679,0.00121679
11,9379.84,2.25053,3.40744,2.42083,0.01694,0.05066,0.02306,0.00701,2.65775,4.03187,2.88794,0.00119322,0.00119322,0.00119322
12,10213.2,2.28804,3.37793,2.45079,0.25315,0.11815,0.02488,0.00621,2.78971,4.29075,2.96463,0.00116964,0.00116964,0.00116964
13,11044.2,2.26939,3.29952,2.37423,0.36686,0.1726,0.04301,0.01189,2.57993,3.7425,2.60988,0.00114606,0.00114606,0.00114606
14,11881.8,2.23045,3.17904,2.35389,0.11134,0.12007,0.05157,0.01246,2.43028,3.34907,2.6463,0.00112248,0.00112248,0.00112248
15,12723.6,2.16119,3.21733,2.33753,0.04186,0.16667,0.05537,0.01774,2.44607,3.79651,2.6621,0.0010989,0.0010989,0.0010989
16,13557.8,2.17567,3.15186,2.30859,0.03937,0.11944,0.03793,0.01228,2.74058,3.57187,3.07036,0.00107532,0.00107532,0.00107532
17,14387.6,2.18771,3.07733,2.31097,0.48912,0.13352,0.06684,0.02206,2.48894,3.37369,2.67231,0.00105174,0.00105174,0.00105174
18,15228.9,2.18991,3.09425,2.28295,0.42232,0.0952,0.06177,0.01904,2.37912,3.39901,2.62108,0.00102817,0.00102817,0.00102817
19,16062.7,2.17085,3.11261,2.28722,0.44738,0.20593,0.08165,0.02539,2.30682,3.2015,2.60962,0.00100459,0.00100459,0.00100459
20,16907.7,2.14919,3.03796,2.2916,0.45432,0.14529,0.08566,0.02415,2.29494,3.34741,2.62433,0.000981008,0.000981008,0.000981008
21,17751.6,2.14352,3.04366,2.29544,0.23744,0.18615,0.12457,0.0422,2.34726,3.16317,2.65319,0.00095743,0.00095743,0.00095743
22,18582.6,2.12305,2.99973,2.28667,0.1644,0.2528,0.11649,0.03474,2.4541,3.11869,2.75665,0.000933851,0.000933851,0.000933851
23,19422.4,2.13706,2.86981,2.25145,0.4939,0.18371,0.12722,0.03924,2.36777,3.14319,2.56705,0.000910273,0.000910273,0.000910273
24,20251.4,2.06387,2.89696,2.22465,0.40847,0.31808,0.08688,0.02737,2.34523,3.52402,2.58991,0.000886694,0.000886694,0.000886694
25,21085.5,2.08109,2.96006,2.21176,0.63647,0.23418,0.17902,0.05266,2.2988,2.80218,2.52638,0.000863116,0.000863116,0.000863116
26,21938.5,2.04838,2.90276,2.18528,0.49168,0.18362,0.12727,0.03576,2.43419,3.01496,2.60901,0.000839537,0.000839537,0.000839537
27,22760.7,2.06435,2.9015,2.19146,0.16832,0.14473,0.14509,0.04284,2.31376,2.85545,2.51299,0.000815959,0.000815959,0.000815959
28,23545.8,2.0673,2.83211,2.21258,0.24367,0.26048,0.15953,0.0496,2.36584,2.86276,2.57917,0.00079238,0.00079238,0.00079238
29,24339,2.00942,2.82031,2.20235,0.52696,0.13945,0.12929,0.04059,2.33052,2.95378,2.57086,0.000768802,0.000768802,0.000768802
30,25156.8,2.03077,2.79384,2.16404,0.14318,0.22985,0.12849,0.04022,2.27595,2.9106,2.45734,0.000745223,0.000745223,0.000745223
31,25950.7,2.01425,2.92333,2.14821,0.47773,0.22307,0.12202,0.03719,2.23283,2.95234,2.49515,0.000721645,0.000721645,0.000721645
32,26752,2.01936,2.78403,2.15628,0.47513,0.18974,0.15676,0.04832,2.33515,2.84108,2.47583,0.000698066,0.000698066,0.000698066
33,27546.2,1.986,2.74474,2.12206,0.102,0.2064,0.13793,0.04595,2.28992,2.79702,2.41013,0.000674488,0.000674488,0.000674488
34,28342.9,1.99958,2.68917,2.12123,0.49027,0.26808,0.18725,0.05662,2.31956,2.68139,2.46923,0.000650909,0.000650909,0.000650909
35,29140.5,1.96841,2.64753,2.1203,0.56371,0.24068,0.19439,0.06439,2.22213,2.70469,2.41939,0.000627331,0.000627331,0.000627331
36,29940.1,1.99758,2.70253,2.15482,0.53316,0.279,0.187,0.06237,2.21366,2.82885,2.47873,0.000603752,0.000603752,0.000603752
37,30740.2,1.95506,2.58506,2.09442,0.41152,0.27549,0.22523,0.06984,2.35273,2.66703,2.48813,0.000580174,0.000580174,0.000580174
38,31530.3,1.90816,2.56866,2.04566,0.3324,0.28178,0.24608,0.07743,2.30053,2.66372,2.4317,0.000556595,0.000556595,0.000556595
39,32333.4,1.94091,2.53411,2.06901,0.45604,0.25299,0.23138,0.07479,2.22842,2.61981,2.40055,0.000533017,0.000533017,0.000533017
40,33142.8,1.88499,2.56786,2.04002,0.29116,0.29494,0.22011,0.07119,2.24131,2.57231,2.38293,0.000509438,0.000509438,0.000509438
41,34015.5,1.94635,2.544,2.0729,0.61778,0.19918,0.19375,0.05956,2.26398,2.65141,2.43613,0.00048586,0.00048586,0.00048586
42,34966.3,1.89997,2.50973,2.04289,0.5778,0.20179,0.22824,0.06936,2.26458,2.58251,2.4029,0.000462281,0.000462281,0.000462281
43,35932.1,1.86564,2.49469,2.01929,0.22258,0.29586,0.20235,0.06458,2.27667,2.64344,2.47268,0.000438703,0.000438703,0.000438703
44,36881.1,1.88646,2.43875,2.04634,0.28459,0.26667,0.21444,0.06524,2.22576,2.61867,2.40857,0.000415124,0.000415124,0.000415124
45,37821.5,1.84819,2.4316,2.02032,0.24991,0.27992,0.24726,0.08278,2.25569,2.5791,2.48622,0.000391546,0.000391546,0.000391546
46,38716.3,1.85885,2.47142,2.03584,0.51696,0.25763,0.22387,0.07107,2.21816,2.62557,2.43319,0.000367967,0.000367967,0.000367967
47,39572.5,1.80309,2.46726,2.00724,0.58893,0.25393,0.24774,0.07982,2.22434,2.5167,2.41281,0.000344389,0.000344389,0.000344389
48,40419,1.83969,2.3999,2.00891,0.43476,0.31883,0.24641,0.07717,2.25388,2.58488,2.44781,0.00032081,0.00032081,0.00032081
49,41281.1,1.85938,2.38672,2.00222,0.31743,0.32336,0.23155,0.06986,2.25222,2.68285,2.43257,0.000297232,0.000297232,0.000297232
50,42177.3,1.83194,2.31949,1.98216,0.26966,0.34222,0.25288,0.07408,2.27765,2.46732,2.43233,0.000273654,0.000273654,0.000273654
51,43297.7,1.93807,2.38162,2.16018,0.3454,0.30671,0.22212,0.05845,2.34207,2.79344,2.58226,0.000250075,0.000250075,0.000250075
52,44131.1,1.92271,2.25068,2.15986,0.33931,0.3718,0.26336,0.07561,2.29112,2.58732,2.45882,0.000226497,0.000226497,0.000226497
53,44973.5,1.85808,2.12674,2.09717,0.32823,0.3826,0.2957,0.08707,2.27577,2.44741,2.44566,0.000202918,0.000202918,0.000202918
54,45810,1.84619,2.08616,2.06916,0.30283,0.35523,0.29241,0.08969,2.28074,2.38982,2.42876,0.00017934,0.00017934,0.00017934
55,46648.9,1.86655,2.10915,2.09156,0.44998,0.33559,0.31659,0.08949,2.30761,2.42518,2.46528,0.000155761,0.000155761,0.000155761
56,47489.4,1.80706,2.01813,2.05554,0.53978,0.31726,0.30405,0.09276,2.30974,2.46954,2.46054,0.000132183,0.000132183,0.000132183
57,48318.8,1.82261,2.0146,2.06003,0.36436,0.33522,0.29563,0.09157,2.28588,2.4583,2.44441,0.000108604,0.000108604,0.000108604
58,49157.5,1.7835,1.95019,2.02147,0.38124,0.31728,0.30319,0.09375,2.36686,2.4215,2.47956,8.50255e-05,8.50255e-05,8.50255e-05
59,49991.7,1.7559,1.93229,2.02423,0.37873,0.36708,0.32991,0.09745,2.35256,2.38089,2.46725,6.1447e-05,6.1447e-05,6.1447e-05
60,50832.9,1.77368,1.99275,2.02868,0.43773,0.3355,0.33185,0.09698,2.34331,2.36997,2.46274,3.78685e-05,3.78685e-05,3.78685e-05
